name:Lemondogs,win_rate:0.27,avg_rating:1.05,avg_kills:16.08,avg_deaths:15.83,avg_kast:0.69,avg_adr:73.54,avg_kddiff:0.25,avg_fkdiff:0.15,rounds_won:10.07,maps_winrate:{anc:0.0,mrg:0.7241379310344828}
name:Natus Vincere,win_rate:0.4,avg_rating:1.0,avg_kills:16.73,avg_deaths:17.83,avg_kast:0.68,avg_adr:70.97,avg_kddiff:-1.1,avg_fkdiff:-0.64,rounds_won:11.83,maps_winrate:{anb:0.0,inf:0.6462585034013606}
name:KerchNET,win_rate:0.27,avg_rating:0.0,avg_kills:7.45,avg_deaths:6.44,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.01,avg_fkdiff:0.39,rounds_won:9.5,maps_winrate:{inf:0.0,mrg:0.2727272727272727}
name:zNation,win_rate:0.33,avg_rating:0.0,avg_kills:7.73,avg_deaths:7.01,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.72,avg_fkdiff:0.02,rounds_won:10.01,maps_winrate:{d2:0.12}
name:Brussels Guardians,win_rate:0.0,avg_rating:0.0,avg_kills:6.57,avg_deaths:6.67,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.1,avg_fkdiff:0.4,rounds_won:8.17,maps_winrate:{inf:0.0,nuke:0.0}
name:BuyKey,win_rate:0.33,avg_rating:0.0,avg_kills:7.04,avg_deaths:6.47,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.57,avg_fkdiff:0.19,rounds_won:10.75,maps_winrate:{mrg:0.0,nuke:0.5}
name:myDGB.net,win_rate:0.37,avg_rating:0.0,avg_kills:10.97,avg_deaths:8.39,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.58,avg_fkdiff:0.62,rounds_won:11.57,maps_winrate:{nuke:0.0,trn:0.25}
name:SMBU,win_rate:0.0,avg_rating:0.0,avg_kills:8.4,avg_deaths:3.4,avg_kast:0.0,avg_adr:0.0,avg_kddiff:5.0,avg_fkdiff:0.6,rounds_won:8.0,maps_winrate:{trn:0.0}
name:CRG,win_rate:0.0,avg_rating:0.0,avg_kills:8.0,avg_deaths:6.45,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.55,avg_fkdiff:0.55,rounds_won:9.25,maps_winrate:{nuke:0.0,inf:0.0}
name:AT Gaming,win_rate:0.17,avg_rating:0.0,avg_kills:8.0,avg_deaths:4.6,avg_kast:0.0,avg_adr:0.0,avg_kddiff:3.4,avg_fkdiff:0.7,rounds_won:8.5,maps_winrate:{d2:0.0,nuke:0.0}
name:NeverPlay,win_rate:0.25,avg_rating:0.64,avg_kills:12.16,avg_deaths:11.26,avg_kast:0.38,avg_adr:41.87,avg_kddiff:0.91,avg_fkdiff:0.13,rounds_won:9.24,maps_winrate:{mrg:0.0,ovp:0.5}
name:ServerForge,win_rate:0.0,avg_rating:0.0,avg_kills:7.28,avg_deaths:6.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.28,avg_fkdiff:0.48,rounds_won:9.25,maps_winrate:{inf:0.0,d2:0.0}
name:Wizards,win_rate:0.23,avg_rating:1.09,avg_kills:16.75,avg_deaths:16.47,avg_kast:0.71,avg_adr:76.28,avg_kddiff:0.27,avg_fkdiff:0.01,rounds_won:9.83,maps_winrate:{vtg:0.0,trn:0.2}
